Date,Time,Lat,Lon,Alt,Sats,HDOP,Temp,Hum,DewPoint,Pres,Gas,Bewolkung,Wind_Avg_ms,Wind_Gust_ms,Wind_Dir,Wind_Dir_deg,Rain_mm,Modus,a20k_Low,a40k_Mid,a55k_High,a80k_FM,a110k_CF
26.02.2026,17:01:57,0.0,0.0,0.0,0,99.9,15.02,67.21,8.99,1007.43,12.93,1,1.21,1.21,S,180.0,0.00,Stat,0.4890,1.2239,1.6955,2.4469,3.4698
26.02.2026,17:01:59,0.0,0.0,0.0,0,99.9,15.01,67.26,8.99,1007.43,14.18,1,1.33,1.00,SE,135.0,0.00,Stat,0.4889,1.2238,1.6955,2.4469,3.4699
26.02.2026,17:02:01,0.0,0.0,0.0,0,99.9,15.01,67.23,8.98,1007.44,15.26,1,1.00,1.33,S,180.0,0.00,Stat,0.4891,1.2235,1.6948,2.4457,3.4684
26.02.2026,17:02:03,0.0,0.0,0.0,0,99.9,14.99,67.18,8.95,1007.43,16.34,1,0.33,0.33,SSW,202.5,0.00,Stat,0.4894,1.2229,1.6934,2.4433,3.4654
26.02.2026,17:02:05,0.0,0.0,0.0,0,99.9,14.98,67.15,8.93,1007.43,17.22,1,0.00,0.00,S,180.0,0.00,Stat,0.4896,1.2224,1.6922,2.4413,3.4628
26.02.2026,17:02:07,0.0,0.0,0.0,0,99.9,14.96,67.14,8.92,1007.43,18.18,1,0.67,0.33,S,180.0,0.00,Stat,0.4898,1.2219,1.6909,2.4392,3.4602
26.02.2026,17:02:09,0.0,0.0,0.0,0,99.9,14.94,67.14,8.89,1007.41,19.05,1,0.00,0.33,S,180.0,0.00,Stat,0.4900,1.2212,1.6894,2.4368,3.4573
26.02.2026,17:02:11,0.0,0.0,0.0,0,99.9,14.91,67.15,8.86,1007.40,19.92,1,0.67,0.67,SSW,202.5,0.00,Stat,0.4903,1.2203,1.6874,2.4336,3.4533
26.02.2026,17:02:13,0.0,0.0,0.0,0,99.9,14.87,67.16,8.83,1007.39,20.66,1,1.00,0.67,S,180.0,0.00,Stat,0.4905,1.2192,1.6851,2.4300,3.4487
26.02.2026,17:02:15,0.0,0.0,0.0,0,99.9,14.83,67.17,8.80,1007.38,21.41,1,1.00,1.00,SE,135.0,0.00,Stat,0.4908,1.2181,1.6828,2.4262,3.4440
26.02.2026,17:02:17,0.0,0.0,0.0,0,99.9,14.79,67.18,8.76,1007.38,22.16,1,1.00,1.00,S,180.0,0.00,Stat,0.4911,1.2169,1.6802,2.4221,3.4389
26.02.2026,17:02:19,0.0,0.0,0.0,0,99.9,14.75,67.22,8.73,1007.38,22.90,1,1.00,1.00,S,180.0,0.00,Stat,0.4913,1.2157,1.6777,2.4182,3.4342
26.02.2026,17:02:21,0.0,0.0,0.0,0,99.9,14.71,67.26,8.70,1007.38,23.51,1,0.67,1.00,S,180.0,0.00,Stat,0.4915,1.2145,1.6754,2.4145,3.4296
26.02.2026,17:02:23,0.0,0.0,0.0,0,99.9,14.66,67.33,8.67,1007.38,24.37,1,1.00,0.67,S,180.0,0.00,Stat,0.4916,1.2134,1.6734,2.4115,3.4259
26.02.2026,17:02:25,0.0,0.0,0.0,0,99.9,14.62,67.41,8.65,1007.38,25.08,1,0.67,1.00,S,180.0,0.00,Stat,0.4917,1.2123,1.6713,2.4083,3.4221
26.02.2026,17:02:27,0.0,0.0,0.0,0,99.9,14.58,67.48,8.62,1007.38,25.67,1,1.00,0.67,S,180.0,0.00,Stat,0.4918,1.2112,1.6692,2.4051,3.4181
26.02.2026,17:02:29,0.0,0.0,0.0,0,99.9,14.54,67.56,8.60,1007.37,26.26,1,0.67,1.00,S,180.0,0.00,Stat,0.4918,1.2101,1.6672,2.4022,3.4145
26.02.2026,17:02:31,0.0,0.0,0.0,0,99.9,14.50,67.63,8.58,1007.37,26.98,1,1.00,1.00,S,180.0,0.00,Stat,0.4919,1.2091,1.6653,2.3993,3.4110
26.02.2026,17:02:33,0.0,0.0,0.0,0,99.9,14.46,67.74,8.57,1007.37,27.60,1,1.00,0.67,S,180.0,0.00,Stat,0.4917,1.2083,1.6640,2.3974,3.4088
26.02.2026,17:02:35,0.0,0.0,0.0,0,99.9,14.42,67.85,8.56,1007.38,28.30,1,1.00,1.00,S,180.0,0.00,Stat,0.4916,1.2074,1.6626,2.3954,3.4064
26.02.2026,17:02:37,0.0,0.0,0.0,0,99.9,14.39,67.95,8.54,1007.38,28.88,1,1.00,1.00,S,180.0,0.00,Stat,0.4916,1.2066,1.6611,2.3932,3.4038
26.02.2026,17:02:39,0.0,0.0,0.0,0,99.9,14.35,68.04,8.53,1007.39,29.47,1,1.00,1.00,S,180.0,0.00,Stat,0.4915,1.2057,1.6597,2.3911,3.4013
26.02.2026,17:02:41,0.0,0.0,0.0,0,99.9,14.31,68.13,8.52,1007.40,30.04,1,1.00,1.00,S,180.0,0.00,Stat,0.4915,1.2049,1.6582,2.3890,3.3986
26.02.2026,17:02:43,51.734503,8.726660,119.3,5,1.5,14.28,68.24,8.51,1007.39,30.64,1,1.00,1.00,S,180.0,0.00,Stat,0.4914,1.2041,1.6570,2.3873,3.3967
26.02.2026,17:02:45,51.734504,8.726660,119.0,6,1.5,14.25,68.32,8.49,1007.40,31.23,1,1.00,1.00,S,180.0,0.00,Stat,0.4913,1.2033,1.6555,2.3851,3.3940
26.02.2026,17:02:47,51.734505,8.726660,118.5,6,1.5,14.21,68.43,8.48,1007.39,31.89,1,1.00,1.33,S,180.0,0.00,Stat,0.4912,1.2025,1.6543,2.3834,3.3920
26.02.2026,17:02:49,51.734539,8.726695,116.8,6,1.5,14.18,68.53,8.47,1007.39,32.21,1,1.33,1.00,S,180.0,0.00,Stat,0.4911,1.2018,1.6531,2.3817,3.3900
26.02.2026,17:02:51,51.734552,8.726706,118.4,6,1.5,14.14,68.63,8.46,1007.39,32.84,1,1.00,1.33,S,180.0,0.00,Stat,0.4910,1.2010,1.6518,2.3798,3.3877
26.02.2026,17:02:53,51.734561,8.726712,119.9,6,1.5,14.11,68.72,8.45,1007.39,33.41,1,1.67,1.33,S,180.0,0.00,Stat,0.4910,1.2002,1.6504,2.3779,3.3854
26.02.2026,17:02:55,51.734567,8.726718,120.5,7,1.5,14.08,68.80,8.43,1007.38,33.95,1,1.67,1.67,S,180.0,0.00,Stat,0.4910,1.1993,1.6489,2.3757,3.3827
26.02.2026,17:02:57,51.734567,8.726720,120.4,7,1.5,14.04,68.91,8.42,1007.39,34.36,1,1.67,1.67,S,180.0,0.00,Stat,0.4908,1.1985,1.6477,2.3739,3.3806
26.02.2026,17:02:59,51.734564,8.726714,119.3,7,1.5,14.01,69.02,8.41,1007.39,34.93,1,1.67,1.67,S,180.0,0.00,Stat,0.4907,1.1978,1.6465,2.3723,3.3786
26.02.2026,17:03:01,51.734559,8.726709,118.3,7,1.5,13.98,69.09,8.40,1007.39,35.64,1,2.00,2.00,S,180.0,0.00,Stat,0.4907,1.1971,1.6452,2.3704,3.3763
26.02.2026,17:03:03,51.734554,8.726703,117.6,7,1.5,13.95,69.18,8.39,1007.38,35.94,1,2.00,2.00,SSW,202.5,0.00,Stat,0.4906,1.1965,1.6444,2.3693,3.3751
26.02.2026,17:03:05,51.734550,8.726701,117.2,7,1.5,13.93,69.27,8.39,1007.38,36.53,1,2.33,2.00,S,180.0,0.00,Stat,0.4905,1.1960,1.6436,2.3682,3.3738
26.02.2026,17:03:07,51.734547,8.726699,116.9,9,1.2,13.90,69.35,8.38,1007.39,36.91,1,1.67,2.00,S,180.0,0.00,Stat,0.4904,1.1955,1.6429,2.3672,3.3726
26.02.2026,17:03:09,51.734544,8.726698,116.6,10,1.2,13.88,69.44,8.38,1007.39,37.40,1,2.00,2.00,S,180.0,0.00,Stat,0.4902,1.1951,1.6423,2.3664,3.3717
26.02.2026,17:03:11,51.734540,8.726696,116.3,10,1.2,13.86,69.50,8.37,1007.39,38.15,1,2.00,2.00,S,180.0,0.00,Stat,0.4902,1.1945,1.6413,2.3651,3.3701
